Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
2	196	0	0	0.0	1.0	0.0	98.0	1	98	0	0	0.0	0.5	0.0	49.0	dns
2	196	0	0	0.0	1.0	0.0	98.0	1	98	0	0	0.0	0.5	0.0	49.0	dns
23	1794	6	500	6.0	11.5	500.0	897.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	dns
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.5	0.0	49.0	dns
2	196	0	0	0.0	1.0	0.0	98.0	1	98	0	0	0.0	0.5	0.0	49.0	dns
23	1794	6	500	6.0	11.5	500.0	897.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	dns
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	dns
2	196	0	0	0.0	1.0	0.0	98.0	1	98	0	0	0.0	0.5	0.0	49.0	dns
23	1794	6	500	6.0	11.5	500.0	897.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	dns
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	dns
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.5	0.0	49.0	dns
23	1794	6	500	6.0	11.5	500.0	897.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	dns
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	dns
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	dns
23	1794	6	500	6.0	11.5	500.0	897.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	dns
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	dns
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	dns
24	1884	1	90	1.0	8.0	90.0	628.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	dns
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	dns
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	dns
24	1884	1	90	1.0	8.0	90.0	628.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	dns
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	dns
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	dns
24	1884	1	90	1.0	8.0	90.0	628.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	dns
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	dns
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	dns
24	1884	1	90	1.0	8.0	90.0	628.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	dns
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	dns
2	196	0	0	0.0	0.6666666666666666	0.0	65.33333333333333	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	dns
24	1884	1	90	1.0	8.0	90.0	628.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	dns
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	dns
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	dns
24	1884	1	90	1.0	8.0	90.0	628.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	dns
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	dns
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	dns
24	1884	1	90	1.0	8.0	90.0	628.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	dns
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	dns
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	dns
24	1884	0	0	0.0	6.0	0.0	471.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
6	604	4	408	4.0	1.2	408.0	120.8	1	98	0	0	0.0	0.25	0.0	24.5	dns
